"username","gender","location","Location_Name"
"Precipitation","Male","GEO","Georgia"
"Rolex","Male","CAN","Canada"
"silentcelle","Female","SGP","Singapore"
"ceojii","Male","FIN","Finland"
"AbelFive","Male","JOR","Jordan"
"Laius","Male","FRA","France"
"lotuszero","Male","BRA","Brazil"
"BanShee","Female","TUR","Turkey"
"APman50064","Male","CAN","Canada"
"Usagi-dono",NA,"RUS","Russia"
"Deharou","Male","SVK","Slovakia"
"OtakuNe",NA,"EST","Estonia"
"llopezcuervo","Male","BEL","Belgium"
"shockm","Male","RUS","Russia"
"-Patchouli","Male","POL","Poland"
"Albus","Male","RUS","Russia"
"harima7","Male","PRT","Portugal"
"AlpenDitrix","Male","RUS","Russia"
"Nymeros","Male","DEU","Germany"
"Kaoru23","Female","FRA","France"
"kpc21","Male","POL","Poland"
"HollowDoll","Female","CAN","Canada"
"Samurai-Mist",NA,"JPN","Japan"
"arumi","Female","CAN","Canada"
"Matiss","Male","POL","Poland"
"JAMALHarps","Male","BRA","Brazil"
"Shuuka","Female","USA","United States"
"muchrome","Female","BRA","Brazil"
"-hatsukoi-","Male","PHL","Philippines"
"SingSing","Female","NLD","Netherlands"
"RottenGospel","Female","CHN","China"
"Evadoll","Female","NLD","Netherlands"
"Anarielll","Female","HRV","Croatia"
"foshisan1992","Male","SYR","Syria"
"prot0man","Male","JEY","Jersey"
"kamekame23","Female","PER","Peru"
"Lunariane","Female","FRA","France"
"Rin-cchi","Female","SGP","Singapore"
"cassuri","Female","POL","Poland"
"AliceTheZombie",NA,"EST","Estonia"
"Wildan_ns","Male","IDN","Indonesia"
"MoonCat","Female","BEL","Belgium"
"SirHal","Male","IND","India"
"Doomhammer","Male","GRC","Greece"
"TheAcidWorm","Male","FIN","Finland"
"Cynic_Shinigami","Male","UKR","Ukraine"
"2much2soon","Male","CAN","Canada"
"Beilihua","Female","SWE","Sweden"
"LCDNewOrder","Male","AUS","Australia"
"Adoniex","Male","FRA","France"
"porshionXneko","Male","POL","Poland"
"GusIsHere","Male","BRA","Brazil"
"Jean-chyan","Female","PHL","Philippines"
"lxvdat","Male","COL","Colombia"
"Yukito-Atari","Male","JPN","Japan"
"shonkre8","Male","SRB","Serbia"
"Su14","Female","HUN","Hungary"
