"join_date","users"
"2004",3
"2005",38
"2006",340
"2007",10790
"2008",34481
"2009",41892
"2010",33436
"2011",25583
"2012",32222
"2013",33563
"2014",27512
"2015",25947
"2016",20032
"2017",13475
"2018",3232
