"my_start_date","views"
1990,248
1991,228
1992,359
1993,340
1994,438
1995,678
1996,743
1997,1008
1998,1473
1999,1884
2000,3365
2001,3537
2002,4528
2003,5759
2004,7737
2005,11301
2006,22020
2007,163735
2008,351264
2009,560418
2010,644371
2011,759192
2012,919313
2013,1179938
2014,1318126
2015,1378211
2016,1355199
2017,1279035
2018,527499
